,name,domain,employees
0,Jared N,Data Center SupervisorInformation Technology and Services,10001
1,David O,IT Infrastructure SpecialistGovernment Administration,10001
2,John R,Engineer 1Hospital & Health Care,10001
3,Matthew H,Data Center ManagerGovernment Administration,10001
4,Bertrand C,Sr Tech Support AnalystHealth Wellness and Fitness,10001
5,Ryan M,VP of Site ManagementInformation Technology and Services,50
6,Verified Reviewer,Insurance,10001
7,Micah C,Data Center ManagerFinancial Services,200
8,Keith M,Special Project ManagerAutomotive,10001
9,William E,Lead AnalystInformation Technology and Services,10001
10,Joe Z,Data Center Operations ManagerFinancial Services,5000
11,James O,IT AnalystInformation Technology and Services,10001
12,Lovedeep S,Analyst 5Retail,10001
13,Loukianos A,Configuration Management SpecialistInformation Technology and Services,200
14,Robert J,Infrastructure Management,10000
15,Santosh M,Consultant (Storage & Data Center)Retail,10001
16,animesh M,Service Delivery Manager Financial Services,10001
17,Sanford G,Data Center TechnicianBanking,10001
18,Valerio M,DC ManagerInformation Technology and Services,10001
19,Verified Reviewer,Industrial Automation,5000
20,Antti H,ServiceNow specialistOutsourcing/Offshoring,5000
21,MARK C,Cloud ManagerFinancial Services,10001
22,Mehulbhai P,System EngineerMechanical or Industrial Engineering,5000
